LOINC_NUM,Component,Property,Time_Aspct,System,Scale_Typ,Method_Typ,Class,ClassType,Long Common Name,Shortname,External_Copyright_Notice,Status,VersionFirstReleased
100861-4,Cells.CD4+CD154+/Cells.CD4^after stimulation with SARS-CoV-2 Nucleocapsid peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4+CD154+/CD4 cells in Blood --after stimulation with SARS-CoV-2 Nucleocapsid peptide,CD4+154/CD4 p COVID NuclCap,,TRIAL,2.73
100858-0,Cells.CD4+CD154+/Cells.CD4^after stimulation with SARS-CoV-2 Spike peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4+CD154+/CD4 cells in Blood --after stimulation with SARS-CoV-2 Spike peptide,CD4+154/CD4 stim COVID Spike,,TRIAL,2.73
100862-2,Cells.CD4.Interferon gamma-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Nucleocapsid peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4.Interferon gamma-expressing/CD4 cells in Blood --after stimulation with SARS-CoV-2 Nucleocapsid peptide,CD4 IFNg/CD4 p COVID NuclCap,,TRIAL,2.73
100859-8,Cells.CD4.Interferon gamma-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Spike peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4.Interferon gamma-expressing/CD4 cells in Blood --after stimulation with SARS-CoV-2 Spike peptide,CD4 IFNg/CD4 p Stim COVID Sp,,TRIAL,2.73
100863-0,Cells.CD4.Tumor necrosis factor alfa-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Nucleocapsid peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4.Tumor necrosis factor alfa-expressing/CD4 cells in Blood --after stimulation with SARS-CoV-2 Nucleocapsid peptide,CD4 TNFa/CD4 p COVID NuclCap,,TRIAL,2.73
100860-6,Cells.CD4.Tumor necrosis factor alfa-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Spike peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4.Tumor necrosis factor alfa-expressing/CD4 cells in Blood --after stimulation with SARS-CoV-2 Spike peptide,CD4 TNFa/CD4 p Stim COVID Sp,,TRIAL,2.73
96766-1,GISAID sequence accession number,ID,Pt,Isolate,Nom,,MICRO,1,GISAID sequence accession number,GISAID seq accession ID,,ACTIVE,2.7
95942-9,Influenza virus A & Influenza virus B & SARS coronavirus+SARS coronavirus 2 Ag panel,-,Pt,Respiratory.upper,-,IA.rapid,PANEL.MICRO,1,Influenza virus A and B and SARS-CoV+SARS-CoV-2 (COVID-19) Ag panel - Upper respiratory specimen by Rapid immunoassay,FLUABV+SARS-CoV Ag Pnl Up resp IA.rapid,,ACTIVE,2.69
97099-6,Influenza virus A & Influenza virus B & SARS coronavirus 2 Ag panel,-,Pt,Respiratory.upper,-,IA.rapid,PANEL.MICRO,1,Influenza virus A and B and SARS-CoV-2 (COVID-19) Ag panel - Upper respiratory specimen by Rapid immunoassay,FLUABV+SARS-CoV2 Ag Pnl Up resp IA.rapid,,ACTIVE,2.7
95941-1,Influenza virus A & Influenza virus B & SARS coronavirus 2 & Respiratory syncytial virus RNA panel,-,Pt,Respiratory System Specimen,-,Probe.amp.tar,PANEL.MICRO,1,Influenza virus A and B and SARS-CoV-2 (COVID-19) and Respiratory syncytial virus RNA panel - Respiratory system specimen by NAA with probe detection,FLUABV+SARS-CoV-2+RSV Pnl Resp NAA+probe,,ACTIVE,2.69
95380-2,Influenza virus A & Influenza virus B & SARS coronavirus 2 & SARS-related coronavirus RNA panel,-,Pt,Respiratory System Specimen,-,Probe.amp.tar,PANEL.MICRO,1,Influenza virus A and B and SARS-CoV-2 (COVID-19) and SARS-related CoV RNA panel - Respiratory system specimen by NAA with probe detection,FluAB+SARS-CoV-2+SARSr-CoV Resp NAA+prb,,ACTIVE,2.69
95423-0,Influenza virus A & Influenza virus B & SARS coronavirus 2 identified,Prid,Pt,Respiratory System Specimen,Nom,Probe.amp.tar,MICRO,1,Influenza virus A and B and SARS-CoV-2 (COVID-19) identified in Respiratory system specimen by NAA with probe detection,FLUABV + SARS-CoV-2 Resp NAA+probe,,ACTIVE,2.69
95422-2,Influenza virus A & Influenza virus B & SARS coronavirus 2 RNA panel,-,Pt,Respiratory System Specimen,-,Probe.amp.tar,PANEL.MICRO,1,Influenza virus A and B and SARS-CoV-2 (COVID-19) RNA panel - Respiratory system specimen by NAA with probe detection,FLUABV + SARS-CoV-2 Pnl Resp NAA+prb,,ACTIVE,2.69
100345-8,Influenza virus A & Influenza virus B & SARS coronavirus 2 RNA panel,-,Pt,XXX,-,Probe.amp.tar,PANEL.MICRO,1,Influenza virus A and B and SARS-CoV-2 (COVID-19) RNA panel - Specimen by NAA with probe detection,FLUABV+SARS-CoV-2 RNA Pnl Spec NAA+probe,,ACTIVE,2.73
98733-9,Percent neutralization by SARS coronavirus 2 spike protein RBD Ab.neut,AFr,Pt,Ser/Plas,Qn,IA,MICRO,1,Percent neutralization by SARS coronavirus 2 spike protein RBD neutralizing antibody in Serum or Plasma by Immunoassay,SARS-CoV-2 S RBD NAb SerPl IA-%,,ACTIVE,2.72
99771-8,SARS coronavirus 2 spike & nucleocapsid protein stimulated gamma interferon panel,-,Pt,Bld,-,,PANEL.MICRO,1,SARS coronavirus 2 spike and nucleocapsid protein stimulated gamma interferon panel - Blood,SARS-CoV-2 IGRA Spk+Nuclcp Pnl Bld,,ACTIVE,2.72
98846-9,SARS coronavirus 2 stimulated gamma interferon release by Helper (CD4+) T-cells^^corrected for background,ACnc,Pt,Bld,Qn,IA,MICRO,1,SARS coronavirus 2 stimulated gamma interferon release by Helper (CD4+) T-cells [Units/volume] corrected for background in Blood by Immunoassay,SARS-CoV-2 IFN-g CD4 cells Bld IA,,ACTIVE,2.72
98847-7,SARS coronavirus 2 stimulated gamma interferon release by lymphocytes^^corrected for background,ACnc,Pt,Bld,Qn,IA,MICRO,1,SARS coronavirus 2 stimulated gamma interferon release by lymphocytes [Units/volume] corrected for background in Blood by Immunoassay,SARS-CoV-2 IFN-g Lymphs Bld IA,,ACTIVE,2.72
99774-2,SARS coronavirus 2 stimulated gamma interferon release by T-cells.Nucleocapsid Ag spot count^^corrected for background,Num,Pt,Bld,Qn,,MICRO,1,SARS coronavirus 2 stimulated gamma interferon release by T-cells.Nucleocapsid Ag spot count [#] corrected for background in Blood,SARSCoV2 IGRA Nucpsid Ct bckgrd cor Bld,,ACTIVE,2.72
99773-4,SARS coronavirus 2 stimulated gamma interferon release by T-cells.Spike Ag spot count^^corrected for background,Num,Pt,Bld,Qn,,MICRO,1,SARS coronavirus 2 stimulated gamma interferon release by T-cells.Spike Ag spot count [#] corrected for background in Blood,SARSCoV2 IGRA Spike Ct bckgrd cor Bld,,ACTIVE,2.72
95209-3,SARS coronavirus+SARS coronavirus 2 Ag,PrThr,Pt,Respiratory System Specimen,Ord,IA.rapid,MICRO,1,SARS-CoV+SARS-CoV-2 (COVID-19) Ag [Presence] in Respiratory system specimen by Rapid immunoassay,SARS-CoV+SARS-CoV-2 Ag Resp Ql IA.rapid,,ACTIVE,2.68
94763-0,SARS coronavirus 2,PrThr,Pt,XXX,Ord,Organism specific culture,MICRO,1,SARS-CoV-2 (COVID-19) [Presence] in Specimen by Organism specific culture,SARS-CoV-2 Spec Ql Cult,,ACTIVE,2.68
94661-6,SARS coronavirus 2 Ab,Imp,Pt,Ser/Plas,Nom,,MICRO,1,SARS-CoV-2 (COVID-19) Ab [Interpretation] in Serum or Plasma,SARS-CoV-2 Ab SerPl-Imp,,ACTIVE,2.68
95825-6,SARS coronavirus 2 Ab,PrThr,Pt,Bld.dot,Ord,IA,MICRO,1,SARS-CoV-2 (COVID-19) Ab [Presence] in DBS by Immunoassay,SARS-CoV-2 Ab DBS Ql IA,,ACTIVE,2.69
98069-8,SARS coronavirus 2 Ab,PrThr,Pt,Saliva,Ord,IA.rapid,MICRO,1,SARS-CoV-2 (COVID-19) Ab [Presence] in Saliva (oral fluid) by Rapid immunoassay,SARS-CoV-2 Ab Sal Ql IA.rapid,,ACTIVE,2.71
94762-2,SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas,Ord,IA,MICRO,1,SARS-CoV-2 (COVID-19) Ab [Presence] in Serum or Plasma by Immunoassay,SARS-CoV-2 Ab SerPl Ql IA,,ACTIVE,2.68
95542-7,SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,MICRO,1,"SARS-CoV-2 (COVID-19) Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",SARS-CoV-2 Ab SerPlBld Ql IA.rapid,,ACTIVE,2.69
94769-7,SARS coronavirus 2 Ab,ACnc,Pt,Ser/Plas,Qn,IA,MICRO,1,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS-CoV-2 Ab SerPl IA-aCnc,,ACTIVE,2.68
96118-5,SARS coronavirus 2 Ab panel,-,Pt,Bld.dot,-,IA,PANEL.MICRO,1,SARS-CoV-2 (COVID-19) Ab panel - DBS by Immunoassay,SARS-CoV-2 Ab Pnl DBS IA,,ACTIVE,2.69
94504-8,SARS coronavirus 2 Ab panel,-,Pt,Ser/Plas,-,IA,PANEL.MICRO,1,SARS-CoV-2 (COVID-19) Ab panel - Serum or Plasma by Immunoassay,SARS-CoV-2 Ab Pnl SerPl IA,,ACTIVE,2.68
94503-0,SARS coronavirus 2 Ab panel,-,Pt,Ser/Plas/Bld,-,IA.rapid,PANEL.MICRO,1,"SARS-CoV-2 (COVID-19) Ab panel - Serum, Plasma or Blood by Rapid immunoassay",SARS-CoV-2 Ab Pnl SerPlBld IA.rapid,,ACTIVE,2.68
94558-4,SARS coronavirus 2 Ag,PrThr,Pt,Respiratory System Specimen,Ord,IA.rapid,MICRO,1,SARS-CoV-2 (COVID-19) Ag [Presence] in Respiratory system specimen by Rapid immunoassay,SARS-CoV-2 Ag Resp Ql IA.rapid,,ACTIVE,2.68
96119-3,SARS coronavirus 2 Ag,PrThr,Pt,Respiratory.upper,Ord,IA,MICRO,1,SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Immunoassay,SARS-CoV-2 Ag Upper resp Ql IA,,ACTIVE,2.69
97097-0,SARS coronavirus 2 Ag,PrThr,Pt,Respiratory.upper,Ord,IA.rapid,MICRO,1,SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Rapid immunoassay,SARS-CoV-2 Ag Upper resp Ql IA.rapid,,ACTIVE,2.7
96094-8,SARS coronavirus 2 & SARS-related coronavirus RNA panel,-,Pt,Respiratory System Specimen,-,Probe.amp.tar,PANEL.MICRO,1,SARS-CoV-2 (COVID-19) and SARS-related CoV RNA panel - Respiratory system specimen by NAA with probe detection,SARS-CoV-2+SARSr-CoV pnl Resp NAA+probe,,ACTIVE,2.69
98080-5,SARS coronavirus 2 & SARS-related coronavirus RNA panel,-,Pt,Saliva,-,Probe.amp.tar,PANEL.MICRO,1,SARS-CoV-2 (COVID-19) and SARS-related CoV RNA panel - Saliva (oral fluid) by NAA with probe detection,SARS-CoV-2+SARSr-CoV RNA pnl Sal NAA+prb,,ACTIVE,2.71
96896-6,SARS coronavirus 2 clade,Type,Pt,XXX,Nom,Molgen,MICRO,1,SARS-CoV-2 (COVID-19) clade [Type] in Specimen by Molecular genetics method,SARS-CoV-2 clade Spec,,ACTIVE,2.7
96764-6,SARS coronavirus 2 E gene,ThreshNum,Pt,Respiratory System Specimen,Qn,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) E gene [Cycle Threshold #] in Respiratory system specimen by NAA with probe detection,SARS-CoV-2 E gene Ct Resp Qn NAA+probe,,ACTIVE,2.7
96763-8,SARS coronavirus 2 E gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) E gene [Presence] in Respiratory system specimen by NAA with probe detection,SARS-CoV-2 E gene Resp Ql NAA+probe,,ACTIVE,2.7
94562-6,SARS coronavirus 2 Ab.IgA,PrThr,Pt,Ser/Plas,Ord,IA,MICRO,1,SARS-CoV-2 (COVID-19) IgA Ab [Presence] in Serum or Plasma by Immunoassay,SARS-CoV-2 IgA SerPl Ql IA,,ACTIVE,2.68
94768-9,SARS coronavirus 2 Ab.IgA,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,MICRO,1,"SARS-CoV-2 (COVID-19) IgA Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",SARS-CoV-2 IgA SerPlBld Ql IA.rapid,,ACTIVE,2.68
95427-1,SARS coronavirus 2 Ab.IgA,Titr,Pt,Ser/Plas,SemiQn,IF,MICRO,1,SARS-CoV-2 (COVID-19) IgA Ab [Titer] in Serum or Plasma by Immunofluorescence,SARS-CoV-2 IgA Titr SerPl IF,,ACTIVE,2.69
94720-0,SARS coronavirus 2 Ab.IgA,ACnc,Pt,Ser/Plas,Qn,IA,MICRO,1,SARS-CoV-2 (COVID-19) IgA Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS-CoV-2 IgA SerPl IA-aCnc,,ACTIVE,2.68
95125-1,SARS coronavirus 2 Ab.IgA+IgM,PrThr,Pt,Ser/Plas,Ord,IA,MICRO,1,SARS-CoV-2 (COVID-19) IgA+IgM [Presence] in Serum or Plasma by Immunoassay,SARS-CoV-2 IgA+IgM SerPl Ql IA,,ACTIVE,2.68
96742-2,SARS coronavirus 2 Ab.IgG,MCnc,Pt,Ser/Plas,Qn,IA,MICRO,1,SARS-CoV-2 (COVID-19) IgG Ab [Mass/volume] in Serum or Plasma by Immunoassay,SARS-CoV-2 IgG SerPl IA-mCnc,,ACTIVE,2.7
94761-4,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Bld.dot,Ord,IA,MICRO,1,SARS-CoV-2 (COVID-19) IgG Ab [Presence] in DBS by Immunoassay,SARS-CoV-2 IgG DBS Ql IA,,ACTIVE,2.68
94563-4,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA,MICRO,1,SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum or Plasma by Immunoassay,SARS-CoV-2 IgG SerPl Ql IA,,ACTIVE,2.68
94507-1,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,MICRO,1,"SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",SARS-CoV-2 IgG SerPlBld Ql IA.rapid,,ACTIVE,2.68
95429-7,SARS coronavirus 2 Ab.IgG,Titr,Pt,Ser/Plas,SemiQn,IF,MICRO,1,SARS-CoV-2 (COVID-19) IgG Ab [Titer] in Serum or Plasma by Immunofluorescence,SARS-CoV-2 IgG Titr SerPl IF,,ACTIVE,2.69
94505-5,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,MICRO,1,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS-CoV-2 IgG SerPl IA-aCnc,,ACTIVE,2.68
94547-7,SARS coronavirus 2 Ab.IgG+IgM,PrThr,Pt,Ser/Plas,Ord,IA,MICRO,1,SARS-CoV-2 (COVID-19) IgG+IgM Ab [Presence] in Serum or Plasma by Immunoassay,SARS-CoV-2 IgG+IgM SerPl Ql IA,,ACTIVE,2.68
95416-4,SARS coronavirus 2 Ab.IgM,PrThr,Pt,Bld.dot,Ord,IA,MICRO,1,SARS-CoV-2 (COVID-19) IgM Ab [Presence] in DBS by Immunoassay,SARS-CoV-2 IgM DBS Ql IA,,ACTIVE,2.68
94564-2,SARS coronavirus 2 Ab.IgM,PrThr,Pt,Ser/Plas,Ord,IA,MICRO,1,SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum or Plasma by Immunoassay,SARS-CoV-2 IgM SerPl Ql IA,,ACTIVE,2.68
94508-9,SARS coronavirus 2 Ab.IgM,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,MICRO,1,"SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",SARS-CoV-2 IgM SerPlBld Ql IA.rapid,,ACTIVE,2.68
95428-9,SARS coronavirus 2 Ab.IgM,Titr,Pt,Ser/Plas,SemiQn,IF,MICRO,1,SARS-CoV-2 (COVID-19) IgM Ab [Titer] in Serum or Plasma by Immunofluorescence,SARS-CoV-2 IgM Titr SerPl IF,,ACTIVE,2.69
94506-3,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,MICRO,1,SARS-CoV-2 (COVID-19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS-CoV-2 IgM SerPl IA-aCnc,,ACTIVE,2.68
96895-8,SARS coronavirus 2 lineage,Prid,Pt,XXX,Nom,Molgen,MICRO,1,SARS-CoV-2 (COVID-19) lineage [Identifier] in Specimen by Molecular genetics method,SARS-CoV-2 lineage Spec,,ACTIVE,2.7
100157-7,SARS coronavirus 2 lineage,Type,Pt,XXX,Nom,Sequencing,MICRO,1,SARS-CoV-2 (COVID-19) lineage [Type] in Specimen by Sequencing,SARS-CoV-2 lineage Spec Seq,,ACTIVE,2.72
96957-6,SARS coronavirus 2 M gene,PrThr,Pt,Respiratory.upper,Ord,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) M gene [Presence] in Upper respiratory specimen by NAA with probe detection,SARS-CoV-2 M gene Upper resp Ql NAA+prb,,ACTIVE,2.7
95521-1,SARS coronavirus 2 N gene,NCnc,Pt,Respiratory System Specimen,Qn,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) N gene [#/volume] (viral load) in Respiratory system specimen by NAA with probe detection,SARS-CoV-2 N gene # Resp NAA+probe,,ACTIVE,2.69
96898-2,SARS coronavirus 2 N gene,ThreshNum,Pt,Oropharyngeal wash,Qn,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Cycle Threshold #] in Oropharyngeal wash by NAA with probe detection,SARS-CoV-2 N gene Ct OPA wash Qn NAA+prb,,ACTIVE,2.7
94510-5,SARS coronavirus 2 N gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Cycle Threshold #] in Specimen by NAA with probe detection,SARS-CoV-2 N gene Ct Spec Qn NAA+probe,,ACTIVE,2.68
94311-8,SARS coronavirus 2 N gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar.CDC primer-probe set N1,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Cycle Threshold #] in Specimen by Nucleic acid amplification using CDC primer-probe set N1,SARS-CoV-2 N gene Ct Spec Qn NAA N1,,ACTIVE,2.68
94312-6,SARS coronavirus 2 N gene,ThreshNum,Pt,XXX,Qn,Probe.amp.tar.CDC primer-probe set N2,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Cycle Threshold #] in Specimen by Nucleic acid amplification using CDC primer-probe set N2,SARS-CoV-2 N gene Ct Spec Qn NAA N2,,ACTIVE,2.68
95522-9,SARS coronavirus 2 N gene,LnCnc,Pt,Respiratory System Specimen,Qn,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Log #/volume] (viral load) in Respiratory system specimen by NAA with probe detection,SARS-CoV-2 N gene Resp NAA+probe-Log#,,ACTIVE,2.69
94760-6,SARS coronavirus 2 N gene,PrThr,Pt,Nph,Ord,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Nasopharynx by NAA with probe detection,SARS-CoV-2 N gene Nph Ql NAA+probe,,ACTIVE,2.68
96986-5,SARS coronavirus 2 N gene,PrThr,Pt,Nose,Ord,Non-probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Nose by NAA with non-probe detection,SARS-CoV-2 N gene Nose Ql NAA+non-probe,,ACTIVE,2.7
95409-9,SARS coronavirus 2 N gene,PrThr,Pt,Nose,Ord,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Nose by NAA with probe detection,SARS-CoV-2 N gene Nose Ql NAA+probe,,ACTIVE,2.68
94533-7,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by NAA with probe detection,SARS-CoV-2 N gene Resp Ql NAA+probe,,ACTIVE,2.68
94756-4,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar.CDC primer-probe set N1,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by Nucleic acid amplification using CDC primer-probe set N1,SARS-CoV-2 N gene Resp Ql NAA N1,,ACTIVE,2.68
94757-2,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory System Specimen,Ord,Probe.amp.tar.CDC primer-probe set N2,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by Nucleic acid amplification using CDC primer-probe set N2,SARS-CoV-2 N gene Resp Ql NAA N2,,ACTIVE,2.68
95425-5,SARS coronavirus 2 N gene,PrThr,Pt,Saliva,Ord,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Saliva (oral fluid) by NAA with probe detection,SARS-CoV-2 N gene Sal Ql NAA+probe,,ACTIVE,2.69
96448-6,SARS coronavirus 2 N gene,PrThr,Pt,Saliva,Ord,Probe.amp.tar.CDC primer-probe set N1,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Saliva (oral fluid) by Nucleic acid amplification using CDC primer-probe set N1,SARS-CoV-2 N gene Sal Ql NAA N1,,ACTIVE,2.69
96958-4,SARS coronavirus 2 N gene,PrThr,Pt,Saliva,Ord,Probe.amp.tar.CDC primer-probe set N2,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Saliva (oral fluid) by Nucleic acid amplification using CDC primer-probe set N2,SARS-CoV-2 N gene Sal Ql NAA N2,,ACTIVE,2.7
94766-3,SARS coronavirus 2 N gene,PrThr,Pt,Ser/Plas,Ord,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Serum or Plasma by NAA with probe detection,SARS-CoV-2 N gene SerPl Ql NAA+probe,,ACTIVE,2.68
94316-7,SARS coronavirus 2 N gene,PrThr,Pt,XXX,Ord,Probe.amp.tar,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Specimen by NAA with probe detection,SARS-CoV-2 N gene Spec Ql NAA+probe,,ACTIVE,2.68
94307-6,SARS coronavirus 2 N gene,PrThr,Pt,XXX,Ord,Probe.amp.tar.CDC primer-probe set N1,MICRO,1,SARS-CoV-2 (COVID-19) N gene [Presence] in Specimen by Nucleic acid amplification using CDC primer-probe set N1,SARS-CoV-2 N gene Spec Ql NAA N1,,ACTIVE,2.68
