MAVEN_LOOKUP_CODE,MAVEN_PRODUCT_CODE,SEND_TO_MAVEN
"10356-4_4716008","AMB","1"
"10356-4_110389002","AMB","1"
"10701-1_4716008","AMB","1"
"10701-1_110389002","AMB","1"
"10702-9_4716008","AMB","1"
"10702-9_110389002","AMB","1"
"10703-7_4716008","AMB","1"
"10703-7_110389002","AMB","1"
"10704-5_4716008","AMB","1"
"10704-5_110389002","AMB","1"
"14125-9_4716008","AMB","1"
"14125-9_110389002","AMB","1"
"18307-9_4716008","AMB","1"
"18307-9_110389002","AMB","1"
"20932-0_4716008","AMB","1"
"20932-0_110389002","AMB","1"
"6396-6_4716008","AMB","1"
"6396-6_110389002","AMB","1"
"6397-4_4716008","AMB","1"
"6397-4_110389002","AMB","1"
"6398-2_4716008","AMB","1"
"6398-2_110389002","AMB","1"
"6399-0_4716008","AMB","1"
"6399-0_110389002","AMB","1"
"6470-9_4716008","AMB","1"
"6470-9_110389002","AMB","1"
"6473-3_4716008","AMB","1"
"6473-3_110389002","AMB","1"
"665-0_4716008","AMB","1"
"665-0_110389002","AMB","1"
"6665-4_4716008","AMB","1"
"6665-4_110389002","AMB","1"
"6674-6_4716008","AMB","1"
"6674-6_110389002","AMB","1"
"6680-3_4716008","AMB","1"
"6680-3_110389002","AMB","1"
"673-4_4716008","AMB","1"
"673-4_110389002","AMB","1"
"678-3_4716008","AMB","1"
"678-3_110389002","AMB","1"
"680-9_4716008","AMB","1"
"680-9_110389002","AMB","1"
"9785-7_4716008","AMB","1"
"9785-7_110389002","AMB","1"
"11469-4_21927003","ANT","1"
"11475-1_21927003","ANT","1"
"38347-1_21927003","ANT","1"
"610-6_21927003","ANT","1"
"11475-1_13080008","BOTO","1"
"11475-1_18065004","BOTO","1"
"11475-1_20785008","BOTO","1"
"11475-1_20017000","BOTO","1"
"11475-1_37081000","BOTO","1"
"11475-1_8386006","BOTO","1"
"11475-1_32829006","BOTO","1"
"11475-1_29072007","BOTO","1"
"20706-8_13080008","BOTO","1"
"20706-8_18065004","BOTO","1"
"20706-8_20785008","BOTO","1"
"20706-8_20017000","BOTO","1"
"20706-8_37081000","BOTO","1"
"20706-8_8386006","BOTO","1"
"20706-8_32829006","BOTO","1"
"20706-8_29072007","BOTO","1"
"33694-1_13080008","BOTO","1"
"33694-1_18065004","BOTO","1"
"33696-6_13080008","BOTO","1"
"33696-6_18065004","BOTO","1"
"41852-5_18065004","BOTO","1"
"46705-0_18065004","BOTO","1"
"46705-0_20785008","BOTO","1"
"46705-0_8386006","BOTO","1"
"46705-0_32829006","BOTO","1"
"6463-4_13080008","BOTO","1"
"10349-9_116505000","BRU","1"
"11475-1_26250004","BRU","1"
"11475-1_72829003","BRU","1"
"11475-1_24224000","BRU","1"
"11475-1_48317004","BRU","1"
"11475-1_38025008","BRU","1"
"24388-1_10828004","BRU","1"
"41625-5_116505000","BRU","1"
"551-2_72829003","BRU","1"
"551-2_24224000","BRU","1"
"551-2_48317004","BRU","1"
"551-2_38025008","BRU","1"
"552-0_72829003","BRU","1"
"552-0_24224000","BRU","1"
"552-0_48317004","BRU","1"
"552-0_38025008","BRU","1"
"552-0_116505000","BRU","1"
"600-7_72829003","BRU","1"
"600-7_24224000","BRU","1"
"600-7_48317004","BRU","1"
"600-7_38025008","BRU","1"
"600-7_116505000","BRU","1"
"627-0_72829003","BRU","1"
"627-0_24224000","BRU","1"
"627-0_48317004","BRU","1"
"627-0_38025008","BRU","1"
"634-6_72829003","BRU","1"
"634-6_24224000","BRU","1"
"634-6_48317004","BRU","1"
"634-6_38025008","BRU","1"
"636-1_72829003","BRU","1"
"636-1_24224000","BRU","1"
"636-1_48317004","BRU","1"
"636-1_38025008","BRU","1"
"699-9_72829003","BRU","1"
"11475-1_35408001","CAMPY","1"
"11475-1_40614002","CAMPY","1"
"11475-1_84210007","CAMPY","1"
"11475-1_64589009","CAMPY","1"
"11475-1_66543000","CAMPY","1"
"11475-1_91524009","CAMPY","1"
"11475-1_58928003","CAMPY","1"
"11475-1_19552006","CAMPY","1"
"11475-1_116457002","CAMPY","1"
"11475-1_9041007","CAMPY","1"
"11475-1_103427005","CAMPY","1"
"11475-1_113523003","CAMPY","1"
"11475-1_116386003","CAMPY","1"
"16528-2_40614002","CAMPY","1"
"16529-0_66543000","CAMPY","1"
"16530-8_66543000","CAMPY","1"
"16531-6_66543000","CAMPY","1"
"16532-4_66543000","CAMPY","1"
"16534-0_91524009","CAMPY","1"
"38347-1_40614002","CAMPY","1"
"38347-1_66543000","CAMPY","1"
"41852-5_40614002","CAMPY","1"
"49614-1_40614002","CAMPY","1"
"49614-1_66543000","CAMPY","1"
"4992-4_91524009","CAMPY","1"
"600-7_116457002","CAMPY","1"
"625-4_35408001","CAMPY","1"
"625-4_40614002","CAMPY","1"
"625-4_84210007","CAMPY","1"
"625-4_64589009","CAMPY","1"
"625-4_66543000","CAMPY","1"
"625-4_91524009","CAMPY","1"
"625-4_58928003","CAMPY","1"
"625-4_19552006","CAMPY","1"
"625-4_9041007","CAMPY","1"
"625-4_113523003","CAMPY","1"
"6329-7_40614002","CAMPY","1"
"6331-3_66543000","CAMPY","1"
"6331-3_116457002","CAMPY","1"
"6332-1_84210007","CAMPY","1"
"6332-1_64589009","CAMPY","1"
"6333-9_66543000","CAMPY","1"
"6334-7_66543000","CAMPY","1"
"6335-4_35408001","CAMPY","1"
"6335-4_66543000","CAMPY","1"
"646-0_40614002","CAMPY","1"
"6463-4_116457002","CAMPY","1"
"6463-4_113524009","CAMPY","1"
"10352-3_64889004","CHAN","0"
"11475-1_64889004","CHAN","0"
"14475-8_64889004","CHAN","0"
"14476-6_64889004","CHAN","0"
"14478-2_64889004","CHAN","0"
"597-5_64889004","CHAN","0"
"600-7_64889004","CHAN","0"
"634-6_64889004","CHAN","0"
"636-1_64889004","CHAN","0"
"6600-1_64889004","CHAN","0"
"11475-1_125048009","CHO","1"
"625-4_62987004","CHO","1"
"625-4_125048009","CHO","1"
"6578-9_76436009","CHO","1"
"6578-9_58735003","CHO","1"
"6578-9_58735003","CHO","1"
"6579-7_76436009","CHO","1"
"6579-7_58735003","CHO","1"
"6579-7_58735003","CHO","1"
"6581-3_76436009","CHO","1"
"6581-3_58735003","CHO","1"
"6581-3_58735003","CHO","1"
"5883-4_5210005","RUB","1"
"5884-2_5210005","RUB","1"
"5887-5_5210005","RUB","1"
"6548-2_5210005","RUB","1"
"11473-6_67168003","CRYP","1"
"10704-5_83821001","CRYP","1"
"10704-5_51504002","CRYP","1"
"11475-1_67168003","CRYP","1"
"11475-1_83821001","CRYP","1"
"20781-1_10828004","CRYP","1"
"20781-1_83821001","CRYP","1"
"20781-1_372395005","CRYP","1"
"20932-0_51504002","CRYP","1"
"20932-0_372395005","CRYP","1"
"566-0_372395005","CRYP","1"
"6371-9_10828004","CRYP","1"
"6471-7_83821001","CRYP","1"
"6471-7_51504002","CRYP","1"
"6674-6_83821001","CRYP","1"
"6674-6_51504002","CRYP","1"
"673-4_83821001","CRYP","1"
"673-4_51504002","CRYP","1"
"673-4_372395005","CRYP","1"
"9785-7_83821001","CRYP","1"
"9785-7_51504002","CRYP","1"
"10704-5_103561005","CYCLO","1"
"10850-6_103561005","CYCLO","1"
"20932-0_103561005","CYCLO","1"
"673-4_103561005","CYCLO","1"
"9785-7_103561005","CYCLO","1"
"6383-4_34348001","DNF","1"
"6383-4_34348001","DNF","1"
"10353-1_5851001","DIP","1"
"11475-1_5851001","DIP","1"
"11475-1_83675005","DIP","1"
"11475-1_70876001","DIP","1"
"11475-1_13755001","DIP","1"
"14479-0_5851001","DIP","1"
"14480-8_5851001","DIP","1"
"14481-6_5851001","DIP","1"
"14483-2_5851001","DIP","1"
"16676-9_5851001","DIP","1"
"567-8_5851001","DIP","1"
"597-5_5851001","DIP","1"
"600-7_5851001","DIP","1"
"604-9_5851001","DIP","1"
"605-6_5851001","DIP","1"
"622-1_5851001","DIP","1"
"623-9_5851001","DIP","1"
"624-7_5851001","DIP","1"
"626-2_5851001","DIP","1"
"632-0_5851001","DIP","1"
"634-6_5851001","DIP","1"
"636-1_5851001","DIP","1"
"6460-0_5851001","DIP","1"
"6462-6_5851001","DIP","1"
"6463-4_5851001","DIP","1"
"6596-1_5851001","DIP","1"
"10851-4_83285000","EHEC","1"
"11475-1_103429008","EHEC","1"
"12276-2_83285000","EHEC","1"
"12276-2_103429008","EHEC","1"
"16832-8_103429008","EHEC","1"
"41852-5_103429008","EHEC","1"
"44088-3_103429008","EHEC","1"
"600-7_103429008","EHEC","1"
"625-4_103429008","EHEC","1"
"625-4_131260002","EHEC","1"
"625-4_131261003","EHEC","1"
"6463-4_103429008","EHEC","1"
"11475-1_116395006","EHEC","1"
"21262-1_10828004","EHEC","1"
"21262-1_116395006","EHEC","1"
"41852-5_116395006","EHEC","1"
"6463-4_116395006","EHEC","1"
"11475-1_116394005","EHEC","1"
"11475-1_131260002","EHEC","1"
"11475-1_131261003","EHEC","1"
"16835-1_83285000","EHEC","1"
"6463-4_131260002","EHEC","1"
"6463-4_131261003","EHEC","1"
"10356-4_78181009","GIA","1"
"10670-8_78181009","GIA","1"
"10701-1_78181009","GIA","1"
"10702-9_78181009","GIA","1"
"10703-7_78181009","GIA","1"
"10704-5_78181009","GIA","1"
"11475-1_78181009","GIA","1"
"14210-9_78181009","GIA","1"
"16898-9_78181009","GIA","1"
"16899-7_78181009","GIA","1"
"18307-9_78181009","GIA","1"
"18493-7_78181009","GIA","1"
"18494-5_78181009","GIA","1"
"18495-2_78181009","GIA","1"
"18496-0_78181009","GIA","1"
"20931-2_78181009","GIA","1"
"20932-0_78181009","GIA","1"
"5169-8_78181009","GIA","1"
"6412-1_78181009","GIA","1"
"6413-9_78181009","GIA","1"
"6470-9_78181009","GIA","1"
"673-4_78181009","GIA","1"
"9785-7_78181009","GIA","1"
"11475-1_44470000","HFLU","1"
"11475-1_103441001","HFLU","1"
"11475-1_103442008","HFLU","1"
"11475-1_103443003","HFLU","1"
"11475-1_103444009","HFLU","1"
"11475-1_103445005","HFLU","1"
"11475-1_103446006","HFLU","1"
"32139-8_44470000","HFLU","1"
"32139-8_127508008","HFLU","1"
"51668-2_44470000","HFLU","1"
"597-5_44470000","HFLU","1"
"597-5_103441001","HFLU","1"
"597-5_103442008","HFLU","1"
"597-5_103443003","HFLU","1"
"597-5_103444009","HFLU","1"
"597-5_103445005","HFLU","1"
"597-5_103446006","HFLU","1"
"600-7_44470000","HFLU","1"
"600-7_103441001","HFLU","1"
"600-7_103442008","HFLU","1"
"600-7_103443003","HFLU","1"
"600-7_103444009","HFLU","1"
"600-7_103445005","HFLU","1"
"600-7_103446006","HFLU","1"
"606-4_44470000","HFLU","1"
"606-4_103441001","HFLU","1"
"606-4_103442008","HFLU","1"
"606-4_103443003","HFLU","1"
"606-4_103444009","HFLU","1"
"606-4_103445005","HFLU","1"
"606-4_103446006","HFLU","1"
"609-8_44470000","HFLU","0"
"610-6_44470000","HFLU","1"
"610-6_103441001","HFLU","1"
"610-6_103442008","HFLU","1"
"610-6_103443003","HFLU","1"
"610-6_103444009","HFLU","1"
"610-6_103445005","HFLU","1"
"610-6_103446006","HFLU","1"
"611-4_44470000","HFLU","1"
"611-4_103441001","HFLU","1"
"611-4_103442008","HFLU","1"
"611-4_103443003","HFLU","1"
"611-4_103444009","HFLU","1"
"611-4_103445005","HFLU","1"
"611-4_103446006","HFLU","1"
"634-6_44470000","HFLU","1"
"634-6_103441001","HFLU","1"
"634-6_103442008","HFLU","1"
"634-6_103443003","HFLU","1"
"634-6_103444009","HFLU","1"
"634-6_103445005","HFLU","1"
"634-6_103446006","HFLU","1"
"636-1_44470000","HFLU","1"
"636-1_103441001","HFLU","1"
"636-1_103442008","HFLU","1"
"636-1_103443003","HFLU","1"
"636-1_103444009","HFLU","1"
"636-1_103445005","HFLU","1"
"636-1_103446006","HFLU","1"
"6463-4_44470000","HFLU","1"
"6463-4_103442008","HFLU","1"
"6600-1_44470000","HFLU","1"
"6600-1_103441001","HFLU","1"
"6600-1_103442008","HFLU","1"
"6600-1_103443003","HFLU","1"
"6600-1_103444009","HFLU","1"
"6600-1_103445005","HFLU","1"
"6600-1_103446006","HFLU","1"
"7899-8_49445003","HPS","1"
"7899-8_49445003","HPS","1"
"13950-1_10828004","HEPA","1"
"22312-3_11214006","HEPA","0"
"22312-3_32452004","HEPA","1"
"22313-1_32452004","HEPA","1"
"5181-3_32452004","HEPA","1"
"13954-3_10828004","HEPB_A","1"
"13954-3_81665004","HEPB_A","1"
"24113-3_10828004","HEPB_A","1"
"24113-3_11214006","HEPB_A","1"
"24113-3_81665004","HEPB_A","1"
"29610-3_81665004","HEPB_A","1"
"29610-3_260373001","HEPB_A","1"
"29615-2_81665004","HEPB_A","1"
"42595-9_10828004","HEPB_A","1"
"42595-9_260373001","HEPB_A","1"
"5185-4_11214006","HEPB_A","1"
"5185-4_81665004","HEPB_A","1"
"5195-3_11214006","HEPB_A","1"
"5195-3_81665004","HEPB_A","1"
"5196-1_10828004","HEPB_A","1"
"5196-1_260373001","HEPB_A","1"
"5196-1_81665004","HEPB_A","1"
"7905-3_10828004","HEPB_A","1"
"7905-3_81665004","HEPB_A","1"
"11259-9_10828004","HEPC_A","1"
"11259-9_62944002","HEPC_A","1"
"13955-0_10828004","HEPC_A","1"
"13955-0_11214006","HEPC_A","1"
"13955-0_62944002","HEPC_A","1"
"16128-1_62944002","HEPC_A","1"
"16129-9_62944002","HEPC_A","1"
"22327-1_10828004","HEPC_A","1"
"48159-8_62944002","HEPC_A","1"
"5010-4_62944002","HEPC_A","1"
"5198-7_10828004","HEPC_A","1"
"5198-7_11214006","HEPC_A","1"
"5199-5_10828004","HEPC_A","1"
"5199-5_62944002","HEPC_A","1"
"13248-0_10828004","HDV","1"
"14211-7_10828004","HEPE","1"
"14212-5_10828004","HEPE","1"
"22827-0_407479009","FLUS","1"
"31859-1_260385009","FLUS","1"
"31859-2_10828004","FLUS","1"
"38347-1_407479009","FLUS","1"
"46082-4_10828004","FLUS","1"
"48310-7_10828004","FLUS","1"
"48509-4_407479009","FLUS","1"
"55463-4_407479009","FLUS","1"
"5863-6_407479009","FLUS","1"
"610-6_407479009","FLUS","1"
"6437-8_407479009","FLUS","1"
"6584-7_407479009","FLUS","1"
"6604-3_407479009","FLUS","1"
"7920-2_407479009","FLUS","1"
"38347-1_407480007","FLUS","1"
"38382-8_10828004","FLUS","1"
"48509-4_407480007","FLUS","1"
"5866-8_260385009","FLUS","1"
"5866-9_10828004","FLUS","1"
"5867-7_407478001","FLUS","1"
"610-6_407480007","FLUS","1"
"6584-7_407480007","FLUS","1"
"6604-3_407480007","FLUS","1"
"7931-9_407478001","FLUS","1"
"11475-1_7527002","LEG","1"
"11475-1_80897008","LEG","1"
"11475-1_37835001","LEG","1"
"11475-1_89605004","LEG","1"
"11475-1_39739007","LEG","1"
"11475-1_638008","LEG","1"
"11475-1_8147000","LEG","1"
"11475-1_17083009","LEG","1"
"11475-1_87271006","LEG","1"
"11475-1_89709001","LEG","1"
"11475-1_17298000","LEG","1"
"11475-1_28109006","LEG","1"
"11475-1_58939000","LEG","1"
"11475-1_64930007","LEG","1"
"11475-1_38322001","LEG","1"
"11475-1_52462004","LEG","1"
"11475-1_14121003","LEG","1"
"11475-1_72814000","LEG","1"
"11475-1_18214000","LEG","1"
"11475-1_3128001","LEG","1"
"11475-1_22592008","LEG","1"
"11475-1_58923007","LEG","1"
"11475-1_115514004","LEG","1"
"11475-1_103463005","LEG","1"
"11475-1_103464004","LEG","1"
"11475-1_103465003","LEG","1"
"11475-1_103466002","LEG","1"
"11475-1_103467006","LEG","1"
"11475-1_103468001","LEG","1"
"11475-1_103469009","LEG","1"
"11475-1_103470005","LEG","1"
"11475-1_103471009","LEG","1"
"11475-1_131324005","LEG","1"
"11475-1_131326007","LEG","1"
"17057-1_115514004","LEG","1"
"32355-0_80897008","LEG","1"
"38347-1_80897008","LEG","1"
"38347-1_115514004","LEG","1"
"41852-5_80897008","LEG","1"
"41852-5_115514004","LEG","1"
"41852-5_103463005","LEG","1"
"41852-5_103468001","LEG","1"
"5020-3_10828004","LEG","1"
"589-2_7527002","LEG","1"
"589-2_103456005","LEG","1"
"589-2_103457001","LEG","1"
"589-2_103458006","LEG","1"
"590-0_7527002","LEG","1"
"590-0_103456005","LEG","1"
"590-0_103457001","LEG","1"
"590-0_103458006","LEG","1"
"593-4_7527002","LEG","1"
"593-4_80897008","LEG","1"
"593-4_37835001","LEG","1"
"593-4_89605004","LEG","1"
"593-4_39739007","LEG","1"
"593-4_638008","LEG","1"
"593-4_8147000","LEG","1"
"593-4_17083009","LEG","1"
"593-4_87271006","LEG","1"
"593-4_89709001","LEG","1"
"593-4_17298000","LEG","1"
"593-4_28109006","LEG","1"
"593-4_58939000","LEG","1"
"593-4_64930007","LEG","1"
"593-4_38322001","LEG","1"
"593-4_52462004","LEG","1"
"593-4_14121003","LEG","1"
"593-4_72814000","LEG","1"
"593-4_3128001","LEG","1"
"593-4_22592008","LEG","1"
"593-4_58923007","LEG","1"
"593-4_103456005","LEG","1"
"593-4_103457001","LEG","1"
"593-4_103458006","LEG","1"
"593-4_103463005","LEG","1"
"593-4_103464004","LEG","1"
"593-4_103465003","LEG","1"
"593-4_103466002","LEG","1"
"593-4_103467006","LEG","1"
"593-4_103468001","LEG","1"
"593-4_103469009","LEG","1"
"593-4_103470005","LEG","1"
"593-4_103471009","LEG","1"
"593-4_131326007","LEG","1"
"597-5_7527002","LEG","1"
"597-5_103456005","LEG","1"
"597-5_103457001","LEG","1"
"597-5_103458006","LEG","1"
"600-7_7527002","LEG","1"
"600-7_103456005","LEG","1"
"600-7_103457001","LEG","1"
"600-7_103458006","LEG","1"
"604-9_7527002","LEG","1"
"604-9_103456005","LEG","1"
"604-9_103457001","LEG","1"
"604-9_103458006","LEG","1"
"622-1_7527002","LEG","1"
"622-1_103456005","LEG","1"
"622-1_103457001","LEG","1"
"622-1_103458006","LEG","1"
"624-7_7527002","LEG","1"
"624-7_103456005","LEG","1"
"624-7_103457001","LEG","1"
"624-7_103458006","LEG","1"
"634-6_7527002","LEG","1"
"634-6_103456005","LEG","1"
"634-6_103457001","LEG","1"
"634-6_103458006","LEG","1"
"636-1_7527002","LEG","1"
"636-1_103456005","LEG","1"
"636-1_103457001","LEG","1"
"636-1_103458006","LEG","1"
"6447-7_10828004","LEG","1"
"6447-7_7527002","LEG","1"
"6451-9_7527002","LEG","1"
"6463-4_103463005","LEG","1"
"7947-5_10828004","LEG","1"
"7947-5_7527002","LEG","1"
"7947-5_115514004","LEG","1"
"11475-1_36094007","LIS","1"
"41852-5_36094007","LIS","1"
"600-7_36094007","LIS","1"
"610-6_36094007","LIS","1"
"627-0_36094007","LIS","1"
"634-6_36094007","LIS","1"
"636-1_36094007","LIS","1"
"6463-4_36094007","LIS","1"
"6609-2_23566007","LIS","1"
"6609-2_36094007","LIS","1"
"11006-4_76327009","LYM","1"
"11550-1_76327009","LYM","1"
"12781-1_76327009","LYM","1"
"13202-7_76327009","LYM","1"
"13502-0_10828004","LYM","1"
"13503-8_10828004","LYM","1"
"18203-0_76327009","LYM","1"
"23979-8_10828004","LYM","1"
"23981-4_10828004","LYM","1"
"23983-0_10828004","LYM","1"
"23985-5_10828004","LYM","1"
"32669-4_10828004","LYM","1"
"32669-4_260373001","LYM","1"
"49615-8_76327009","LYM","1"
"4991-6_76327009","LYM","1"
"6320-6_76327009","LYM","1"
"6321-4_76327009","LYM","1"
"6323-0_76327009","LYM","1"
"6471-7_76327009","LYM","1"
"7817-0_76327009","LYM","1"
"9586-9_10828004","LYM","1"
"10710-2_30020004","MAL","1"
"10710-2_56395006","MAL","1"
"10710-2_18508006","MAL","1"
"10710-2_74746009","MAL","1"
"11546-9_30020004","MAL","1"
"17784-0_30020004","MAL","1"
"32206-5_30020004","MAL","1"
"38347-1_30020004","MAL","1"
"38347-1_56395006","MAL","1"
"38347-1_18508006","MAL","1"
"38347-1_74746009","MAL","1"
"41447-4_260373001","MAL","1"
"47260-5_10828004","MAL","1"
"637-9_30020004","MAL","1"
"637-9_56395006","MAL","1"
"637-9_18508006","MAL","1"
"637-9_74746009","MAL","1"
"662-7_30020004","MAL","1"
"662-7_56395006","MAL","1"
"662-7_18508006","MAL","1"
"662-7_74746009","MAL","1"
"673-4_56395006","MAL","1"
"5886-7_52584002","MEAS","1"
"7962-4_10828004","MEAS","1"
"32800-5_17872004","NMEN","1"
"636-1_103481008","NMEN","1"
"10353-1_17872004","NMEN","1"
"11475-1_17872004","NMEN","1"
"11475-1_103479006","NMEN","1"
"11475-1_103480009","NMEN","1"
"11475-1_103481008","NMEN","1"
"11475-1_103482001","NMEN","1"
"11475-1_103483006","NMEN","1"
"11475-1_125041003","NMEN","1"
"16134-9_17872004","NMEN","1"
"23667-9_17872004","NMEN","1"
"38347-1_17872004","NMEN","1"
"38347-1_103480009","NMEN","1"
"38347-1_103481008","NMEN","1"
"38347-1_103482001","NMEN","1"
"41852-5_17872004","NMEN","1"
"41852-5_103481008","NMEN","1"
"49671-1_17872004","NMEN","1"
"49671-1_103480009","NMEN","1"
"49671-1_103481008","NMEN","1"
"600-7_17872004","NMEN","1"
"606-4_17872004","NMEN","1"
"636-1_17872004","NMEN","1"
"6463-4_103482001","NMEN","1"
"5883-4_50384007","MUMPS","1"
"5887-5_50384007","MUMPS","1"
"7967-3_50384007","MUMPS","1"
"7959-0_116200009","LEP","1"
"7960-8_116401006","LEP","1"
"10353-1_5247005","PERT","1"
"11475-1_5247005","PERT","1"
"23826-1_5247005","PERT","1"
"23826-1_260373001","PERT","1"
"29723-4_260373001","PERT","1"
"32355-0_5247005","PERT","1"
"38347-1_5247005","PERT","1"
"548-8_5247005","PERT","1"
"549-6_5247005","PERT","1"
